location,total_sqft,bath,price,bhk
Laxmi Nagar,5000,2,50,2
Saket,17352.94118,3,295,4
other,14074.07407,2,190,3
Saket,12142.85714,3,255,4
Saket,28846.15385,4,750,4
Saket,25000,5,750,4
"RWA Flats, Saket",23448.27586,3,340,3
Saket,23170.73171,4,475,4
other,25000,5,750,4
other,12777.77778,3,230,3
other,26666.66667,2,240,3
"RWA Flats, Saket",14333.33333,2,215,3
Saket,19000,2,285,3
other,6944.444444,4,125,4
Saket,26881.72043,3,450,3
Saket,15061.7284,3,305,4
Saket,17307.69231,3,225,3
other,28282.82828,3,280,3
Saket,11904.7619,4,250,3
Saket,14977.77778,4,337,4
Saket,18000,3,270,3
Saket,16111.11111,4,435,4
"RWA Flats, Saket",17058.82353,3,290,3
Saket,17647.05882,3,300,3
Saket,25414.63415,4,521,4
Saket,18055.55556,3,325,3
Saket,13666.66667,2,205,3
Saket,12500,3,250,4
Saket,20000,3,300,3
Saket,2098.765432,5,510,4
Saket,12525.25253,4,310,4
Safdarjung Enclave,20833.33333,3,375,3
"Arjun Nagar, Safdarjung Enclave",25000,3,325,3
Safdarjung Enclave,25000,3,375,3
Safdarjung Enclave,26190.47619,4,550,4
Safdarjung Enclave,48611.11111,4,875,4
Safdarjung Enclave,14818.18182,2,163,2
Safdarjung Enclave,31941.03194,4,650,4
other,22727.27273,3,250,3
Safdarjung Enclave,24516.12903,3,380,3
Safdarjung Enclave,21428.57143,2,150,2
"Arjun Nagar, Safdarjung Enclave",13333.33333,1,20,2
"Arjun Nagar, Safdarjung Enclave",5555.555556,1,30,1
other,10493.82716,2,85,2
other,16923.07692,4,550,4
Safdarjung Enclave,14062.5,3,225,3
Safdarjung Enclave,18125,4,725,4
Safdarjung Enclave,29090.90909,7,1600,6
other,13888.88889,3,125,3
Safdarjung Enclave,17489.71193,2,170,2
Safdarjung Enclave,19879.51807,4,825,4
Safdarjung Enclave,24444.44444,5,550,4
Safdarjung Enclave,21212.12121,3,350,3
other,16283.5249,4,425,4
"Arjun Nagar, Safdarjung Enclave",7833.333333,2,47,2
Safdarjung Enclave,30882.35294,5,525,4
Safdarjung Enclave,35555.55556,4,800,4
"Arjun Nagar, Safdarjung Enclave",12500,2,110,3
Safdarjung Enclave,17619.04762,5,740,4
other,25862.06897,3,375,3
other,23863.63636,4,525,4
other,16049.38272,3,260,3
Paschim Vihar,14378.47866,2,155,3
other,12865.49708,3,220,3
other,18260.86957,3,210,3
"Paschimpuri, Paschim Vihar",11111.11111,2,50,2
Paschim Vihar,12101.21012,3,220,3
other,14722.22222,2,265,3
other,11243.58974,2,87.7,2
other,11111.11111,1,45,1
Paschim Vihar,9444.444444,3,85,2
other,10652.89223,2,86,2
other,15740.74074,3,425,4
Paschim Vihar,11909.09091,2,131,3
"Paschimpuri, Paschim Vihar",11965.81197,2,70,2
other,13935.46949,3,300,3
other,13541.66667,2,130,2
other,12833.33333,3,231,4
Paschim Vihar,14545.45455,2,160,3
Paschim Vihar,13888.88889,2,125,2
other,15123.45679,3,245,3
"Paschimpuri, Paschim Vihar",8465.608466,1,32,1
other,7875,2,63,3
other,11111.11111,3,150,3
other,6705.882353,3,57,3
other,13291.13924,2,210,3
Paschim Vihar,9146.341463,3,75,2
other,10942.76094,1,65,2
other,1933.895921,3,275,3
other,15000,2,120,3
other,12000,2,180,3
other,9750,3,156,3
other,9393.939394,3,155,3
other,9500,3,152,3
other,13157.89474,3,250,3
other,10714.28571,2,150,3
